ID_invest;Classe d actif;Plateforme;Nom;Support;Date prevue;Type de flux;Montant attendu;TVA;Devise;Commentaire
57;VC;Jiph;Advanced CMA;part;15/12/2021;in_participation;2349501,98;0;EUR;
59;VC;Jiph;EthiFinance;part;15/12/2021;out_investissement;1348231,14;0;EUR;
59;VC;Jiph;EthiFinance;part;15/10/2022;in_remboursement_capital;1348231,14;0;EUR;
59;VC;Jiph;EthiFinance;part;15/10/2022;in_participation;616486,86;0;EUR;
56;Finance;Generali;83151088;part;01/12/2022;out_investissement;500000;0;EUR;
56;Finance;Generali;83151750;part;01/08/2023;out_investissement;400000;0;EUR;
57;VC;Jiph;Advanced CMA;Dividendes;15/06/2021;in_versement_interet;300000;0;EUR;
5;SCPI;Praemia;"Primopierre		";part;01/02/2022;out_investissement;200096;0;EUR;Initialisation
56;Finance;Generali;83151077;part;01/12/2022;out_investissement;200000;0;EUR;
55;Crypto;Nexo;Staking;coin;01/07/2021;out_investissement;200000;0;EUR;
11;SCPI;Sofidy;Immorente;part;01/11/2022;out_investissement;199920;0;EUR;Initialisation
6;SCPI;Atland-voisin;Epargne Pierre;part;01/02/2022;out_investissement;150176;0;EUR;Initialisation
8;SCPI;CORUM;EURION;part;01/01/2022;out_investissement;150176;0;EUR;Initialisation
57;VC;Jiph;Advanced CMA;Dividendes;15/11/2020;in_versement_interet;150000;0;EUR;
58;VC;Jiph;Money Walkie;part;15/12/2020;out_investissement;150000;0;EUR;
7;SCPI;Atland-voisin;Epargne Pierre;part;01/01/2023;out_investissement;100048;0;EUR;Renforcement
10;SCPI;Sofidy;Efimmo;part;01/11/2022;out_investissement;100014;0;EUR;Initialisation
12;SCPI;Atland-voisin;Epargne Pierre Europe;part;01/06/2024;out_investissement;100000;0;EUR;Initialisation
37;Crowdlending;ClubFunding;Le Club - Bir Hakeim / CF CAPITAL 1 SAS;part;30/12/2022;out_investissement;100000;0;EUR;Initialisation
37;Crowdlending;ClubFunding;Le Club - Bir Hakeim / CF CAPITAL 1 SAS;part;01/09/2025;in_remboursement_capital;100000;0;EUR;-
55;Crypto;Nexo;Staking;coin;01/02/2022;out_investissement;100000;0;EUR;
9;SCPI;CORUM;EURION;part;01/11/2022;out_investissement;99975;0;EUR;Renforcement
55;Crypto;Nexo;Staking;coin;01/11/2021;out_investissement;50000;0;EUR;
55;Crypto;Nexo;Staking;coin;01/01/2022;out_investissement;50000;0;EUR;
46;PE;BEX;BEX Fund V by Peqan;part;01/06/2026;out_renforcement;45000;0;EUR;-
46;PE;BEX;BEX Fund V by Peqan;part;01/12/2025;out_renforcement;44000;0;EUR;-
42;PE;Altaroc;ALTAROC GLOBAL 2022 FPCI;part;01/12/2028;in_remboursement_capital;40000;0;EUR;-
42;PE;Altaroc;ALTAROC GLOBAL 2022 FPCI;part;01/12/2029;in_remboursement_capital;40000;0;EUR;-
