Date de la valeur (UTC);Nom de la contrepartie;Montant total (TTC)
08-05-2025 06:53:05;SAS BVI.EU FINANCE  FP;165,00
08-05-2025 06:52:42;SAS INFINI CAPITAL;55,80
08-05-2025 06:52:41;SAS SGM PERSEPHONE FP;166,60
06-05-2025 05:55:18;Alan Insurance;-126,50
05-05-2025 12:54:49;BLOOM;-25,00
05-05-2025 12:53:06;OLIVIER MICHEL JEAN-CLAUDE PETIBON;-0,11
05-05-2025 11:23:28;PATRIMOINE SUR MESURE;-17388,00
05-05-2025 11:19:44;Geoffrey RAIA;-8400,00
05-05-2025 07:27:07;Aria;15888,60
05-05-2025 07:20:24;Aria;19788,00
30-04-2025 14:09:20;SCI   PRIMOPIERRE;962,00
30-04-2025 14:07:25;Mangopay;175,00
29-04-2025 05:43:46;ALTAROC ODYSSEY 2022 FPCI;-10000,00
25-04-2025 06:10:37;ALTAROC ODYSSEY 2023 FPCI;-10000,00
25-04-2025 06:02:01;ALTAROC ODYSSEY 2024 FPCI;-10000,00
25-04-2025 03:13:47;SCPI IMMORENTE;2063,88
25-04-2025 03:10:06;SCPI EPARGNE PIERRE;3320,28
25-04-2025 03:09:52;EFIMMO 1;886,20
25-04-2025 03:02:04;EFIMMO 1;37,98
24-04-2025 06:51:07;SAS INFINI CAPITAL;240,30
24-04-2025 03:03:46;EPARGNE PIERRE EUROPE;1265,00
17-04-2025 13:35:10;2LDM INVEST;-144,00
16-04-2025 05:50:48;URSSAF D'ILE DE FRANCE;-12,00
15-04-2025 03:12:47;Mangopay;18023,98
11-04-2025 06:46:20;CORUM EURION;1188,03
10-04-2025 07:03:22;Roundtable - WPS VC - NewCo 15;-10000,00
09-04-2025 15:23:46;PATRIMOINE SUR MESURE;-17388,00
09-04-2025 15:21:44;Geoffrey RAIA;-8000,00
09-04-2025 14:07:37;Aria;19788,00
09-04-2025 14:03:56;Aria;15132,00
09-04-2025 07:04:48;SAS BVI.EU FINANCE  FP;165,00
09-04-2025 06:53:26;SAS SGM PERSEPHONE FP;44,80
