Date;Mois;Contrepartie;Montant (€);Source;Type;Catégorie;Matched mot_clé;Matched type_condition
2020-08-12 16:02:14;2020-08;HFG;10000.0;Qonto;;intracomm;HFG;
2020-08-12 16:10:55;2020-08;Qonto;-8.37;Qonto;;FdS;Qonto;
2020-08-13 07:01:34;2020-08;Guichar Jean-Philippz;-5238.0;Qonto;;FdS;Guichar Jean-Philippz;
2020-08-13 16:01:38;2020-08;HFG;2644.6;Qonto;;intracomm;HFG;
2020-08-30 01:12:21;2020-08;Qonto;-10.8;Qonto;;FdS;Qonto;
2020-09-09 09:24:22;2020-09;Qonto;2.4;Qonto;;FdS;Qonto;
2020-09-09 15:15:00;2020-09;SARL MAS MARINE;3500.0;Qonto;;Conseil;SARL MAS MARINE;
2020-09-09 16:32:10;2020-09;Qonto;-2.4;Qonto;;FdS;Qonto;
2020-09-25 07:02:16;2020-09;ADVANCED CMA;3600.0;Qonto;;VC;ADVANCED CMA;
2020-09-30 03:54:35;2020-09;Qonto;-10.8;Qonto;;FdS;Qonto;
2020-09-30 14:56:23;2020-09;Qonto;10.44;Qonto;;FdS;Qonto;
2020-10-01 11:09:16;2020-10;Qonto;-10.8;Qonto;;FdS;Qonto;
2020-10-20 08:00:34;2020-10;Raizers;-10000.0;Qonto;;Crowdfunding;Raizers;
2020-11-01 14:13:11;2020-11;Qonto;-10.8;Qonto;;FdS;Qonto;
2020-11-16 06:11:59;2020-11;Service des Impôts des Entreprises (SIE);-1167.0;Qonto;;impots;Service des Impôts des Entreprises (SIE);
2020-11-19 08:48:20;2020-11;ADVANCED CMA;150000.0;Qonto;;VC;ADVANCED CMA;
2020-12-10 11:01:13;2020-12;QIIP Compte augmentation de capital;-150000.0;Qonto;;VC;QIIP;
2020-12-23 08:50:43;2020-12;ADVANCED CMA;3600.0;Qonto;;VC;ADVANCED CMA;
2021-01-01 18:01:11;2021-01;Qonto;-10.8;Qonto;;FdS;Qonto;
2021-01-26 09:01:13;2021-01;AUTHEC;-426.0;Qonto;;FdS;AUTHEC;
2021-01-26 09:02:33;2021-01;AUTHEC;-756.0;Qonto;;FdS;AUTHEC;
2021-02-01 18:26:40;2021-02;Qonto;-10.8;Qonto;;FdS;Qonto;
2021-03-01 18:13:29;2021-03;Qonto;-10.8;Qonto;;FdS;Qonto;
2021-03-23 06:15:19;2021-03;Viseeon;-196.0;Qonto;;FdS;Viseeon;
2021-03-29 06:50:01;2021-03;ADVANCED CMA;3600.0;Qonto;;VC;ADVANCED CMA;
2021-04-01 16:19:06;2021-04;Qonto;-10.8;Qonto;;FdS;Qonto;
2021-04-08 05:28:30;2021-04;Viseeon;-98.0;Qonto;;FdS;Viseeon;
2021-05-01 17:43:00;2021-05;Qonto;-10.8;Qonto;;FdS;Qonto;
2021-05-05 10:48:34;2021-05;Viseeon;-98.0;Qonto;;FdS;Viseeon;
2021-06-01 02:12:12;2021-06;Qonto;-10.8;Qonto;;FdS;Qonto;
2021-06-04 05:16:59;2021-06;Viseeon;-98.0;Qonto;;FdS;Viseeon;
2021-06-25 06:53:47;2021-06;ADVANCED CMA;300000.0;Qonto;;VC;ADVANCED CMA;
2021-07-01 21:18:20;2021-07;Qonto;-10.8;Qonto;;FdS;Qonto;
2021-07-02 07:00:05;2021-07;ADVANCED CMA;3600.0;Qonto;;VC;ADVANCED CMA;
2021-07-06 05:13:59;2021-07;Viseeon;-98.0;Qonto;;FdS;Viseeon;
2021-07-21 00:00:00;2021-07;Recharge par HFG;10000.0;Revolut;TOPUP;intracomm;HFG;
2021-07-21 00:00:00;2021-07;À Nexo;-10000.0;Revolut;TRANSFER;crypto;Nexo;
2021-07-21 08:08:02;2021-07;HFG;-10000.0;Qonto;;intracomm;HFG;
2021-07-26 00:00:00;2021-07;À Nexo;-190000.0;Revolut;TRANSFER;crypto;Nexo;
2021-07-26 00:00:00;2021-07;Recharge par HFG;190000.0;Revolut;TOPUP;intracomm;HFG;
2021-07-26 10:04:07;2021-07;HFG;-190000.0;Qonto;;intracomm;HFG;
2021-08-01 21:05:21;2021-08;Qonto;-10.8;Qonto;;FdS;Qonto;
2021-08-02 10:22:17;2021-08;ADVANCED CMA;1200.0;Qonto;;VC;ADVANCED CMA;
2021-08-04 05:12:02;2021-08;Viseeon;-98.0;Qonto;;FdS;Viseeon;
2021-09-01 22:12:49;2021-09;Qonto;-10.8;Qonto;;FdS;Qonto;
2021-10-01 00:24:37;2021-10;Qonto;-10.8;Qonto;;FdS;Qonto;
2021-10-06 07:05:03;2021-10;Guichar Jean-Philippe;-6657.0;Qonto;;FdS;Guichar Jean-Philippe;
2021-10-20 05:19:00;2021-10;Direction Générale des Finances Publiques (DGFIP);-4263.0;Qonto;;impots;DGFIP;
2021-10-20 05:20:29;2021-10;Direction Générale des Finances Publiques (DGFIP);-2383.0;Qonto;;impots;DGFIP;
2021-11-01 19:31:49;2021-11;Qonto;-10.8;Qonto;;FdS;Qonto;
2021-11-08 00:00:00;2021-11;Recharge par HFG;25000.0;Revolut;TOPUP;intracomm;HFG;
